170.9658011657767,['-1.83', '-0.67', '18.33', '0.41\r\n']
167.87288373023813,['-1.83', '-0.67', '18.33', '0.41\r\n']
166.68537137861145,['-1.83', '-0.67', '18.33', '0.41\r\n']
164.74092694422623,['-1.83', '-0.67', '18.33', '0.41\r\n']
170.93096421876274,['-1.83', '-0.67', '18.33', '0.41\r\n']
143.4342384241844,['-1.83', '-0.67', '18.33', '0.41\r\n']
164.72151749597455,['-1.83', '-0.67', '18.33', '0.41\r\n']
169.03655341957844,['-1.67', '-0.67', '18.33', '0.41\r\n']
167.337083582685,['-1.67', '-0.67', '18.33', '0.41\r\n']
169.1183420023386,['-1.67', '-0.67', '18.33', '0.41\r\n']
160.84304176093875,['-1.67', '-0.67', '18.33', '0.41\r\n']
173.61248396042882,['-1.67', '-0.67', '18.33', '0.41\r\n']
168.5136199276818,['-1.67', '-0.67', '18.33', '0.41\r\n']
164.01939621460974,['-1.67', '-0.67', '18.33', '0.41\r\n']
164.902850402988,['-1.67', '-0.67', '18.33', '0.41\r\n']
172.64773195027578,['-1.67', '-0.67', '18.33', '0.41\r\n']
167.557686161713,['-1.67', '-0.67', '18.33', '0.41\r\n']
140.38571476386517,['-1.67', '-0.67', '18.33', '0.41\r\n']
169.14562245432916,['-1.67', '-0.67', '18.33', '0.41\r\n']
166.61253674425996,['-1.67', '-0.67', '18.33', '0.41\r\n']
170.39626244160064,['-1.67', '-0.67', '18.33', '0.41\r\n']
161.91723285979,['-1.67', '-0.67', '18.33', '0.41\r\n']
171.44099734314327,['-1.67', '-0.67', '18.33', '0.41\r\n']
168.40536416927648,['-1.67', '-0.67', '18.33', '0.41\r\n']
166.1110495049505,['-1.67', '-0.67', '18.33', '0.41\r\n']
164.74092694422623,['-1.67', '-0.67', '18.33', '0.41\r\n']
170.90310488142777,['-1.67', '-0.67', '18.33', '0.41\r\n']
167.02389295954126,['-1.67', '-0.67', '18.33', '0.41\r\n']
163.21519184372326,['-1.67', '-0.67', '18.33', '0.41\r\n']
144.40212077394477,['-1.67', '-0.67', '18.33', '0.41\r\n']
171.31495323285546,['-1.67', '-0.67', '18.33', '0.41\r\n']
167.2770200207386,['-1.67', '-0.67', '18.33', '0.41\r\n']
164.85747975788067,['-1.67', '-0.67', '18.33', '0.41\r\n']
168.52716168434586,['-1.67', '-0.67', '18.33', '0.41\r\n']
168.00737031844582,['-1.67', '-0.67', '18.33', '0.41\r\n']
169.1729117089501,['-1.67', '-0.67', '18.33', '0.41\r\n']
164.10282092413632,['-1.67', '-0.67', '18.33', '0.41\r\n']
171.7920950235511,['-1.67', '-0.67', '18.33', '0.41\r\n']
168.94123333467596,['-1.67', '-0.67', '18.33', '0.41\r\n']
165.0715888071156,['-1.67', '-0.67', '18.33', '0.41\r\n']
167.75873930085592,['-1.67', '-0.67', '18.33', '0.41\r\n']
145.1617636879629,['-1.67', '-0.67', '18.33', '0.41\r\n']
168.08816575161302,['-1.67', '-0.67', '18.33', '0.41\r\n']
169.57645346486618,['-1.67', '-0.67', '18.33', '0.41\r\n']
165.5602747296124,['-1.67', '-0.67', '18.33', '0.41\r\n']
169.63817997977756,['-1.67', '-0.67', '18.33', '0.41\r\n']
169.02974127508665,['-1.67', '-0.67', '18.33', '0.41\r\n']
164.55349366393347,['-1.67', '-0.67', '18.33', '0.41\r\n']
167.53091548170633,['-1.67', '-0.67', '18.33', '0.41\r\n']
169.00930813555223,['-1.67', '-0.67', '18.33', '0.41\r\n']
167.72519694485544,['-1.67', '-0.67', '18.33', '0.41\r\n']
167.9266525203187,['-1.67', '-0.67', '18.33', '0.41\r\n']
168.04102564102564,['-1.67', '-0.67', '18.33', '0.41\r\n']
145.46887247251414,['-1.67', '-0.67', '18.33', '0.41\r\n']
168.270239910134,['-1.67', '-0.67', '18.33', '0.41\r\n']
167.0505018320854,['-1.67', '-0.67', '18.33', '0.41\r\n']
169.78238341968913,['-1.67', '-0.67', '18.33', '0.41\r\n']
172.30020950581275,['-1.67', '-0.67', '18.33', '0.41\r\n']
164.53412835399342,['-1.67', '-0.67', '18.33', '0.41\r\n']
168.97526387881717,['-1.67', '-0.67', '18.33', '0.41\r\n']
172.59089786848818,['-1.67', '-0.67', '18.33', '0.41\r\n']
167.78558284662773,['-1.67', '-0.67', '18.33', '0.41\r\n']
165.1560875728461,['-1.67', '-0.67', '18.33', '0.41\r\n']
170.72918956323522,['-1.67', '-0.67', '18.33', '0.41\r\n']
142.8967020986645,['-1.67', '-0.67', '18.33', '0.41\r\n']
170.361657189277,['-1.67', '-0.67', '18.33', '0.41\r\n']
162.73391790176146,['-1.67', '-0.67', '18.33', '0.41\r\n']
172.02460831761135,['-1.67', '-0.67', '18.33', '0.41\r\n']
168.97526387881717,['-1.67', '-0.67', '18.33', '0.41\r\n']
164.825087436633,['-1.67', '-0.67', '18.33', '0.41\r\n']
170.21646848748023,['-1.67', '-0.67', '18.33', '0.41\r\n']
168.4324150670629,['-1.67', '-0.67', '18.33', '0.41\r\n']
171.44099734314327,['-1.67', '-0.67', '18.33', '0.41\r\n']
161.76111689613947,['-1.67', '-0.67', '18.33', '0.41\r\n']
170.91006886434945,['-1.67', '-0.67', '18.33', '0.41\r\n']
171.09133183765042,['-1.83', '-0.67', '18.33', '0.41\r\n']
141.06561732754852,['-1.83', '-0.67', '18.33', '0.41\r\n']
165.59295668996012,['-1.83', '-0.67', '18.33', '0.41\r\n']
172.6548388424649,['-1.83', '-0.67', '18.33', '0.41\r\n']
168.1218534551868,['-1.83', '-0.67', '18.33', '0.41\r\n']
166.92418513949139,['-1.83', '-0.67', '18.33', '0.41\r\n']
167.33040772360968,['-1.83', '-0.67', '18.33', '0.41\r\n']
170.88221633733957,['-1.83', '-0.67', '18.33', '0.41\r\n']
167.95354983382052,['-1.83', '-0.67', '18.33', '0.41\r\n']
165.01314029427965,['-1.83', '-0.67', '18.33', '0.41\r\n']
170.1819362168303,['-1.83', '-0.67', '18.33', '0.41\r\n']
168.45947465659893,['-1.67', '-0.67', '18.33', '0.41\r\n']
164.9871764613327,['-1.67', '-0.67', '18.33', '0.41\r\n']
144.70102808252258,['-1.67', '-0.67', '18.33', '0.41\r\n']
168.57457497689,['-1.67', '-0.67', '18.33', '0.41\r\n']
168.20950471225186,['-1.67', '-0.67', '18.33', '0.41\r\n']
167.5041533546326,['-1.67', '-0.67', '18.33', '0.41\r\n']
166.69199586678323,['-1.67', '-0.67', '18.33', '0.41\r\n']
170.59031195347134,['-1.67', '-0.67', '18.33', '0.41\r\n']
170.59725046774588,['-1.67', '-0.67', '18.33', '0.41\r\n']
163.53975123796155,['-1.67', '-0.67', '18.33', '0.41\r\n']
172.29313177785082,['-1.67', '-0.67', '18.33', '0.41\r\n']
168.08816575161302,['-1.67', '-0.67', '18.33', '0.41\r\n']
169.86489551271666,['-1.67', '-0.67', '18.33', '0.41\r\n']
164.12208483330724,['-1.67', '-0.67', '18.33', '0.41\r\n']
146.66937091303282,['-1.67', '-0.67', '18.33', '0.41\r\n']
168.89361359426593,['-1.67', '-0.67', '18.33', '0.41\r\n']
167.67155706576054,['-1.67', '-0.67', '18.33', '0.41\r\n']
165.23416325244247,['-1.67', '-0.67', '18.33', '0.41\r\n']
170.12671371785513,['-1.67', '-0.67', '18.33', '0.41\r\n']
167.73190434295768,['-1.67', '-0.67', '18.33', '0.41\r\n']
159.539901103081,['-1.67', '-0.67', '18.33', '0.41\r\n']
180.0826070155854,['-1.67', '-0.67', '18.33', '0.41\r\n']
167.98045576514878,['-1.67', '-0.67', '18.33', '0.41\r\n']
170.04394713370633,['-1.67', '-0.67', '18.33', '0.41\r\n']
165.64527467319616,['-1.67', '-0.67', '18.33', '0.41\r\n']
169.03655341957844,['-1.67', '-0.67', '18.33', '0.41\r\n']
144.06979699790472,['-1.67', '-0.67', '18.33', '0.41\r\n']
170.21646848748023,['-1.67', '-0.67', '18.33', '0.41\r\n']
164.57932116931528,['-1.67', '-0.67', '18.33', '0.41\r\n']
171.3989620366965,['-1.67', '-0.67', '18.33', '0.41\r\n']
142.16533911805578,['-1.67', '-0.67', '18.33', '0.41\r\n']
203.58722454130668,['-1.67', '-0.67', '18.33', '0.41\r\n']
169.28898934452695,['-1.67', '-0.67', '18.33', '0.41\r\n']
166.72512620741742,['-1.67', '-0.67', '18.33', '0.41\r\n']
168.66269905098923,['-1.67', '-0.67', '18.33', '0.41\r\n']
168.42565152792835,['-1.67', '-0.67', '18.33', '0.41\r\n']
171.20306951304136,['-1.67', '-0.67', '18.33', '0.41\r\n']
145.13664832693172,['-1.67', '-0.67', '18.33', '0.41\r\n']
170.70834350834352,['-1.67', '-0.67', '18.33', '0.41\r\n']
163.92964902681155,['-1.67', '-0.67', '18.33', '0.41\r\n']
168.1016392128572,['-1.67', '-0.67', '18.33', '0.41\r\n']
169.1183420023386,['-1.67', '-0.67', '18.33', '0.41\r\n']
167.557686161713,['-1.67', '-0.67', '18.33', '0.41\r\n']
166.32842923424673,['-1.67', '-0.67', '18.33', '0.41\r\n']
171.6163666121113,['-1.67', '-0.67', '18.33', '0.41\r\n']
168.66269905098923,['-1.67', '-0.67', '18.33', '0.41\r\n']
163.82720099992187,['-1.67', '-0.67', '18.33', '0.41\r\n']
169.74802703468373,['-1.67', '-0.67', '18.33', '0.41\r\n']
171.73582278999305,['-1.67', '-0.67', '18.33', '0.41\r\n']
140.74373343176404,['-1.67', '-0.67', '18.33', '0.41\r\n']
169.23434473854098,['-1.67', '-0.67', '18.33', '0.41\r\n']
172.1799671592775,['-1.67', '-0.67', '18.33', '0.41\r\n']
168.77807734095208,['-1.67', '-0.67', '18.33', '0.41\r\n']
167.22366637429232,['-1.67', '-0.67', '18.33', '0.41\r\n']
170.38241865377586,['-1.67', '-0.67', '18.33', '0.41\r\n']
173.49040370615486,['-1.67', '-0.67', '18.33', '0.41\r\n']
167.31038334197615,['-1.67', '-0.67', '18.33', '0.41\r\n']
168.57457497689,['-1.67', '-0.67', '18.33', '0.41\r\n']
166.63901470003972,['-1.67', '-0.67', '18.33', '0.41\r\n']
170.12671371785513,['-1.67', '-0.67', '18.33', '0.41\r\n']
170.82653850853256,['-1.67', '-0.67', '18.33', '0.41\r\n']
142.97463866921188,['-1.67', '-0.67', '18.33', '0.41\r\n']
168.81204217982773,['-1.67', '-0.67', '18.33', '0.41\r\n']
169.83738257207645,['-1.67', '-0.67', '18.33', '0.41\r\n']
166.85777936905757,['-1.67', '-0.67', '18.33', '0.41\r\n']
166.00585767434498,['-1.67', '-0.67', '18.33', '0.41\r\n']
170.38241865377586,['-1.67', '-0.67', '18.33', '0.41\r\n']
168.4865429420744,['-1.67', '-0.67', '18.33', '0.41\r\n']
168.1757818765036,['-1.67', '-0.67', '18.33', '0.41\r\n']
167.33040772360968,['-1.67', '-0.67', '18.33', '0.41\r\n']
171.96818368183682,['-1.67', '-0.67', '18.33', '0.41\r\n']
169.23434473854098,['-1.67', '-0.67', '18.33', '0.41\r\n']
166.81132675787464,['-1.67', '-0.67', '18.33', '0.41\r\n']
143.98571918983865,['-1.67', '-0.67', '18.33', '0.41\r\n']
167.9871835950016,['-1.67', '-0.67', '18.33', '0.41\r\n']
170.8543728868793,['-1.67', '-0.67', '18.33', '0.41\r\n']
163.88481225335053,['-1.67', '-0.67', '18.33', '0.41\r\n']
168.41212607910057,['-1.67', '-0.67', '18.33', '0.41\r\n']
169.14562245432916,['-1.67', '-0.67', '18.33', '0.41\r\n']
166.77816215356475,['-1.67', '-0.67', '18.33', '0.41\r\n']
170.35473782543357,['-1.67', '-0.67', '18.33', '0.41\r\n']
167.3637923466741,['-1.67', '-0.67', '18.33', '0.41\r\n']
172.77574559235458,['-1.67', '-0.67', '18.33', '0.41\r\n']
162.65818661289072,['-1.67', '-0.67', '18.33', '0.41\r\n']
169.78238341968913,['-1.67', '-0.67', '18.33', '0.41\r\n']
144.6760718843779,['-1.67', '-0.67', '18.33', '0.41\r\n']
171.32195082101134,['-1.67', '-0.67', '18.33', '0.41\r\n']
165.48189063363054,['-1.67', '-0.67', '18.33', '0.41\r\n']
166.61253674425996,['-1.67', '-0.67', '18.33', '0.41\r\n']
170.2441043958274,['-1.67', '-0.67', '18.33', '0.41\r\n']
167.9871835950016,['-1.67', '-0.67', '18.33', '0.41\r\n']
163.96169031703218,['-1.67', '-0.67', '18.33', '0.41\r\n']
170.9448972937724,['-1.67', '-0.67', '18.33', '0.41\r\n']
169.96126104222384,['-1.67', '-0.67', '18.33', '0.41\r\n']
167.03054438293975,['-1.67', '-0.67', '18.33', '0.41\r\n']
168.1757818765036,['-1.67', '-0.67', '18.33', '0.41\r\n']
166.698620881523,['-1.67', '-0.67', '18.33', '0.41\r\n']
145.74688998540552,['-1.67', '-0.67', '18.33', '0.41\r\n']
166.4142199650849,['-1.67', '-0.67', '18.33', '0.41\r\n']
168.27699097291875,['-1.67', '-0.67', '18.33', '0.41\r\n']
170.88221633733957,['-1.67', '-0.67', '18.33', '0.41\r\n']
170.0094848202343,['-1.67', '-0.67', '18.33', '0.41\r\n']
165.8942372345054,['-1.67', '-0.67', '18.33', '0.41\r\n']
168.24324107501002,['-1.83', '-0.67', '18.33', '0.41\r\n']
169.31632488293235,['-1.83', '-0.67', '18.33', '0.41\r\n']
163.3741284618081,['-1.83', '-0.67', '18.33', '0.41\r\n']
172.08106999261508,['-1.83', '-0.67', '18.33', '0.41\r\n']
168.88681296557277,['-1.83', '-0.67', '18.33', '0.41\r\n']
169.2002097704627,['-1.83', '-0.67', '18.33', '0.41\r\n']
142.16533911805578,['-1.83', '-0.67', '18.33', '0.41\r\n']
172.26482667980943,['-1.83', '-0.67', '18.33', '0.41\r\n']
172.11637736468464,['-1.83', '-0.67', '18.33', '0.41\r\n']
169.05699314792423,['-1.83', '-0.67', '18.33', '0.41\r\n']
165.83520480784438,['-1.83', '-0.67', '18.33', '0.41\r\n']
168.65591700510677,['-1.83', '-0.67', '18.33', '0.41\r\n']
167.9871835950016,['-1.83', '-0.67', '18.33', '0.41\r\n']
170.35473782543357,['-1.83', '-0.67', '18.33', '0.41\r\n']
165.1495845966059,['-1.83', '-0.67', '18.33', '0.41\r\n']
169.38470236652935,['-1.83', '-0.67', '18.33', '0.41\r\n']
166.55299209784377,['-1.83', '-0.67', '18.33', '0.41\r\n']
165.22765412645262,['-1.83', '-0.67', '18.33', '0.41\r\n']
144.10939701082287,['-1.83', '-0.67', '18.33', '0.41\r\n']
171.85544538228305,['-1.83', '-0.67', '18.33', '0.41\r\n']
168.1757818765036,['-1.83', '-0.67', '18.33', '0.41\r\n']
164.71504869619855,['-1.83', '-0.67', '18.33', '0.41\r\n']
170.50709378430017,['-1.83', '-0.67', '18.33', '0.41\r\n']
169.23434473854098,['-1.83', '-0.67', '18.33', '0.41\r\n']
168.80524811848514,['-1.83', '-0.67', '18.33', '0.41\r\n']
165.81553666732555,['-1.83', '-0.67', '18.33', '0.41\r\n']
170.91703341483293,['-1.83', '-0.67', '18.33', '0.41\r\n']
166.64563550399302,['-1.83', '-0.67', '18.33', '0.41\r\n']
171.6725605762934,['-1.83', '-0.67', '18.33', '0.41\r\n']
166.32842923424673,['-1.83', '-0.67', '18.33', '0.41\r\n']
143.9017394586064,['-1.83', '-0.67', '18.33', '0.41\r\n']
169.52162315091746,['-1.83', '-0.67', '18.33', '0.41\r\n']
166.9640539787429,['-1.83', '-0.67', '18.33', '0.41\r\n']
170.84741344195518,['-1.83', '-0.67', '18.33', '0.41\r\n']
167.41723546082306,['-1.83', '-0.67', '18.33', '0.41\r\n']
167.30370961308336,['-1.83', '-0.67', '18.33', '0.41\r\n']
168.92082158679017,['-1.83', '-0.67', '18.33', '0.41\r\n']
168.43917914943174,['-1.83', '-0.67', '18.33', '0.41\r\n']
170.9658011657767,['-1.83', '-0.67', '18.33', '0.41\r\n']
165.756560227632,['-1.83', '-0.67', '18.33', '0.41\r\n']
165.488419806668,['-1.83', '-0.67', '18.33', '0.41\r\n']
172.6548388424649,['-1.83', '-0.67', '18.33', '0.41\r\n']
142.228009494744,['-1.83', '-0.67', '18.33', '0.41\r\n']
171.0006523157208,['-1.83', '-0.67', '18.33', '0.41\r\n']
163.96169031703218,['-1.83', '-0.67', '18.33', '0.41\r\n']
171.9047501946801,['-1.83', '-0.67', '18.33', '0.41\r\n']
167.4707127171092,['-1.83', '-0.67', '18.33', '0.41\r\n']
164.03864054128044,['-1.83', '-0.67', '18.33', '0.41\r\n']
171.31495323285546,['-1.83', '-0.67', '18.33', '0.41\r\n']
168.914018766864,['-1.83', '-0.67', '18.33', '0.41\r\n']
167.3637923466741,['-1.83', '-0.67', '18.33', '0.41\r\n']
164.9417594085493,['-1.83', '-0.67', '18.33', '0.41\r\n']
172.5695947335939,['-1.83', '-0.67', '18.33', '0.41\r\n']
143.66022742841486,['-1.83', '-0.67', '18.33', '0.41\r\n']
167.59116154553084,['-1.83', '-0.67', '18.33', '0.41\r\n']
165.91392405063291,['-1.83', '-0.67', '18.33', '0.41\r\n']
166.67212398172063,['-1.83', '-0.67', '18.33', '0.41\r\n']
172.88969497114593,['-1.83', '-0.67', '18.33', '0.41\r\n']
164.03864054128044,['-1.83', '-0.67', '18.33', '0.41\r\n']
170.09911590558846,['-1.83', '-0.67', '18.33', '0.41\r\n']
167.3905096380253,['-1.83', '-0.67', '18.33', '0.41\r\n']
170.32014943555592,['-1.83', '-0.67', '18.33', '0.41\r\n']
165.0456065793098,['-1.83', '-0.67', '18.33', '0.41\r\n']
169.1183420023386,['-1.83', '-0.67', '18.33', '0.41\r\n']
169.61074042622022,['-1.83', '-0.67', '18.33', '0.41\r\n']
141.8432194792019,['-1.83', '-0.67', '18.33', '0.41\r\n']
164.17347737591984,['-1.83', '-0.67', '18.33', '0.41\r\n']
176.11286530063822,['-1.83', '-0.67', '18.33', '0.41\r\n']
169.1183420023386,['-1.83', '-0.67', '18.33', '0.41\r\n']
169.80987854251012,['-1.83', '-0.67', '18.33', '0.41\r\n']
167.73190434295768,['-1.67', '-0.67', '18.33', '0.41\r\n']
