Can bus setup done...
Succeful to send start motor command
Succeful to send start motor command
Succeful to send start motor command
16.00 13.33 -0.38 0.63 -1.02 1.84
16.00 13.33 -0.38 0.63 -1.17 1.83
16.00 13.33 -0.38 0.63 -1.13 1.83
16.00 13.33 -0.38 0.63 -1.13 1.94
16.00 13.33 -0.38 0.63 -1.13 1.91
16.00 13.33 -0.38 0.63 -1.11 1.97
16.00 13.33 -0.38 0.63 -1.09 2.02
16.00 13.33 -0.38 0.63 -1.13 1.98
16.00 13.33 -0.38 0.63 -1.11 1.97
16.00 13.33 -0.38 0.63 -1.09 1.78
16.00 13.33 -0.38 0.63 -1.08 1.83
16.00 13.33 -0.38 0.63 -1.11 1.70
16.00 13.33 -0.38 0.63 -1.09 1.69
16.00 13.33 -0.38 0.63 -1.14 1.73
16.00 13.33 -0.38 0.63 -1.20 1.81
16.00 13.33 -0.38 0.63 -1.16 1.83
16.00 13.33 -0.38 0.63 -1.20 1.91
16.00 13.33 -0.38 0.63 -1.22 1.98
16.00 13.33 -0.38 0.63 -1.14 1.83
16.00 13.33 -0.38 0.63 -1.08 1.80
16.00 13.33 -0.38 0.63 -1.05 1.86
16.00 13.33 -0.38 0.63 -1.00 1.91
16.00 13.33 -0.38 0.63 -0.92 1.86
16.00 13.33 -0.38 0.63 -0.88 1.84
16.00 13.33 -0.38 0.63 -1.06 1.84
16.00 13.33 -0.38 0.63 -1.11 1.86
16.00 13.33 -0.38 0.63 -1.14 1.83
16.00 13.33 -0.38 0.63 -1.17 1.86
16.00 13.33 -0.38 0.63 -1.23 1.88
16.00 13.33 -0.38 0.63 -1.11 1.84
16.00 13.33 -0.38 0.63 -1.19 1.86
16.00 13.33 -0.38 0.63 -1.22 1.83
16.00 13.33 -0.38 0.63 -1.25 1.84
16.00 13.33 -0.38 0.63 -1.23 1.78
16.00 13.33 -0.38 0.63 -1.25 1.83
16.00 13.33 -0.38 0.63 -1.23 1.83
16.00 13.33 -0.38 0.63 -1.25 1.86
16.00 13.33 -0.38 0.63 -1.22 1.86
16.00 13.33 -0.38 0.63 -1.22 1.84
16.00 13.33 -0.38 0.63 -1.19 1.88
16.00 13.33 -0.38 0.63 -1.19 1.91
16.00 13.33 -0.38 0.63 -1.19 1.84
16.00 13.33 -0.38 0.63 -1.14 1.88
16.00 13.33 -0.38 0.63 -1.14 1.83
16.00 13.33 -0.38 0.63 -1.14 1.81
16.00 13.33 -0.38 0.63 -1.14 1.83
16.00 13.33 -0.38 0.63 -1.14 1.73
16.00 13.33 -0.38 0.63 -1.11 1.83
16.00 13.33 -0.38 0.63 -1.14 1.83
16.00 13.33 -0.38 0.63 -1.11 1.86
16.00 13.33 -0.38 0.63 -1.14 1.89
16.00 13.33 -0.38 0.63 -1.14 1.83
16.00 13.33 -0.38 0.63 -1.11 1.84
16.00 13.33 -0.38 0.63 -1.11 1.84
16.00 13.33 -0.38 0.63 -1.11 1.81
16.00 13.33 -0.38 0.63 -1.11 1.78
16.00 13.33 -0.38 0.63 -1.11 1.81
16.00 13.33 -0.38 0.63 -1.13 1.80
16.00 13.33 -0.38 0.63 -1.13 1.81
16.00 13.33 -0.38 0.63 -1.17 1.89
16.00 13.33 -0.38 0.63 -1.17 1.88
16.00 13.33 -0.38 0.63 -1.14 1.83
16.00 13.33 -0.38 0.63 -1.11 1.91
16.00 13.33 -0.38 0.63 -1.17 1.94
16.00 13.33 -0.38 0.63 -1.09 1.95
16.00 13.33 -0.38 0.63 -1.11 1.88
16.00 13.33 -0.38 0.63 -1.11 1.88
16.00 13.33 -0.38 0.63 -1.14 1.83
16.00 13.33 -0.38 0.63 -1.13 1.75
16.00 13.33 -0.38 0.63 -1.19 1.64
16.00 13.33 -0.38 0.63 -1.16 1.70
16.00 13.33 -0.38 0.63 -1.22 1.86
16.00 13.33 -0.38 0.63 -1.23 1.88
16.00 13.33 -0.38 0.63 -1.23 1.95
16.00 13.33 -0.38 0.63 -1.22 1.94
16.00 13.33 -0.38 0.63 -1.16 1.88
16.00 13.33 -0.38 0.63 -1.14 1.86
16.00 13.33 -0.38 0.63 -1.03 1.84
16.00 13.33 -0.38 0.63 -0.98 1.86
16.00 13.33 -0.38 0.63 -0.95 1.86
16.00 13.33 -0.38 0.63 -1.11 1.83
16.00 13.33 -0.38 0.63 -1.11 1.81
16.00 13.33 -0.38 0.63 -1.16 1.83
16.00 13.33 -0.38 0.63 -1.14 1.83
16.00 13.33 -0.38 0.63 -1.17 1.86
16.00 13.33 -0.38 0.63 -1.14 1.88
16.00 13.33 -0.38 0.63 -1.14 1.86
16.00 13.33 -0.38 0.63 -1.14 1.89
16.00 13.33 -0.38 0.63 -1.14 1.84
16.00 13.33 -0.38 0.63 -1.14 1.83
16.00 13.33 -0.38 0.63 -1.14 1.88
16.00 13.33 -0.38 0.63 -1.16 1.83
16.00 13.33 -0.38 0.63 -1.14 1.84
16.00 13.33 -0.38 0.63 -1.11 1.89
16.00 13.33 -0.38 0.63 -1.14 1.84
16.00 13.33 -0.38 0.63 -1.13 1.92
16.00 13.33 -0.38 0.63 -1.09 1.88
16.00 13.33 -0.38 0.63 -1.14 1.88
16.00 13.33 -0.38 0.63 -1.13 1.86
16.00 13.33 -0.38 0.63 -1.09 1.86
16.00 13.33 -0.38 0.63 -1.14 1.83
16.00 13.33 -0.38 0.63 -1.14 1.84
16.00 13.33 -0.38 0.63 -1.14 1.80
16.00 13.33 -0.38 0.63 -1.19 1.84
16.00 13.33 -0.38 0.63 -1.16 1.81
16.00 13.33 -0.38 0.63 -1.16 1.80
16.00 13.33 -0.38 0.63 -1.14 1.86
16.00 13.33 -0.38 0.63 -1.16 1.88
16.00 13.33 -0.38 0.63 -1.09 1.88
16.00 13.33 -0.38 0.63 -1.14 1.86
16.00 13.33 -0.38 0.63 -1.14 1.83
16.00 13.33 -0.38 0.63 -1.09 1.83
16.00 13.33 -0.38 0.63 -1.14 1.84
16.00 13.33 -0.38 0.63 -1.13 1.83
16.00 13.33 -0.38 0.63 -1.13 1.78
16.00 13.33 -0.38 0.63 -1.14 1.86
16.00 13.33 -0.38 0.63 -1.16 1.84
16.00 13.33 -0.38 0.63 -1.16 1.80
16.00 13.33 -0.38 0.63 -1.16 1.86
16.00 13.33 -0.38 0.63 -1.19 1.94
16.00 13.33 -0.38 0.63 -1.14 1.92
16.00 13.33 -0.38 0.63 -1.14 1.97
16.00 13.33 -0.38 0.63 -1.08 1.97
16.00 13.33 -0.38 0.63 -1.09 1.97
