,,Xie0406:LASI,,,Xie0406:RASI,,,Xie0406:LPSI,,,Xie0406:RPSI,,,Xie0406:LTHI,,,Xie0406:LKNE,,,Xie0406:LTIB,,,Xie0406:LANK,,,Xie0406:LHEE,,,Xie0406:LTOE,,,Xie0406:RTHI,,,Xie0406:RKNE,,,Xie0406:RTIB,,,Xie0406:RANK,,,Xie0406:RHEE,,,Xie0406:RTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
65,0,,,,,,,,,,,,,,,,,,,157.48,1810.33,358.08,86.1,1811.44,59.1962,,,,294.264,1856.45,60.1506,86.4729,1342.06,425.233,,,,217.644,1332.57,54.9347,,,,,,,,,
66,0,,,,,,,,,,,,,,,,,,,164.754,1806.34,359.368,103.405,1807.32,56.2936,,,,312.903,1846.05,63.4437,85.6797,1341.67,425.311,,,,217.721,1332.58,54.7985,,,,,,,,,
67,0,,,,,,,,,,,,,,,,,,,172.343,1802.36,360.548,123.156,1803.66,53.0503,,,,333.002,1836.18,67.3929,85.7212,1342.05,425.642,,,,217.789,1332.6,54.6563,,,,,,,,,
68,0,,,,,,,,,,,,,,,,,,,181.523,1798.47,361.424,144.696,1800.16,50.4949,,,,354.38,1826.65,72.5963,85.06,1341.9,425.853,,,,217.851,1332.6,54.5172,,,,,,,,,
69,0,,,,,,,,,,,,,,,,,,,191.989,1794.52,361.884,167.404,1796.59,49.3122,,,,376.773,1817.69,78.9869,84.2146,1341.77,426.047,,,,217.967,1332.59,54.3902,,,,,,,,,
70,0,,,,,,,,,,,,,,,,,,,204.179,1791.1,362.168,190.182,1792.38,48.8878,,,,399.768,1809.7,86.4911,83.2427,1341.69,426.339,,,,218.07,1332.59,54.2801,,,,,,,,,
71,0,,,,,,,,,,,,,,,,,,,216.974,1787.29,362.889,213.66,1788.74,49.5566,,,,422.628,1802.5,94.9128,82.043,1341.56,426.563,,,,218.154,1332.58,54.186,,,,,,,,,
72,0,,,,,,,,,,,,,,,,,,,229.944,1783.48,364.175,237.758,1784.77,51.1855,,,,445.719,1796.83,103.361,80.7134,1341.34,426.754,,,,218.214,1332.59,54.1166,,,,,,,,,
73,0,,,,,,,,,,,,,,,,,,,242.763,1779.64,366.5,261.918,1780.86,53.4168,,,,468.317,1792.85,112.079,79.1459,1341.03,426.923,,,,218.225,1332.6,54.0489,,,,,,,,,
74,0,,,,,,,,,,,,,,,,,,,255.388,1775.7,369.12,286.034,1777.06,56.562,,,,490.136,1790.59,121.878,77.3913,1340.68,426.921,,,,218.223,1332.64,53.9617,,,,,,,,,
75,0,,,,,,,,,,,,,,,,,,,267.961,1771.85,372.059,309.835,1773.26,60.6831,,,,511.128,1788.86,132.451,75.8361,1340.26,427.004,,,,218.261,1332.68,53.8701,,,,,,,,,
76,0,,,,,,,,,,,,,,,,,,,280.294,1768.12,375.223,333.8,1769.82,65.9203,,,,531.586,1787.16,143.786,74.4563,1339.82,427.109,,,,218.285,1332.67,53.7793,,,,,,,,,
77,0,,,,,,,,,,,,,,,,,,,292.179,1764.58,379.112,357.696,1766.4,71.703,,,,552.04,1785.14,155.694,73.0631,1339.32,427.069,,,,218.324,1332.69,53.7061,,,,,,,,,
78,0,,,,,,,,,,,,,,,,,,,304.24,1761,383.179,380.759,1762.8,78.3996,,,,572.346,1782.31,167.586,71.8523,1338.84,427.047,,,,218.299,1332.7,53.6279,,,,,,,,,
79,0,,,,,,,,,,,,,,,,,,,316.605,1757.5,387.833,403.297,1759.32,85.817,,,,592.95,1777.83,180.094,70.7437,1338.27,426.978,,,,217.302,1332.67,53.4983,,,,,,,,,
80,0,,,,,,,,,,,,,,,,,,,329.269,1754.42,393.158,425.547,1755.7,93.9069,,,,613.041,1772.06,193.092,69.666,1337.51,426.836,,,,217.241,1332.67,53.4482,,,,,,,,,
81,0,,,,,,,,,,,,,,,,,,,341.955,1750.94,399.071,447.026,1751.9,102.52,,,,632.608,1765.66,206.493,68.9495,1336.7,426.662,,,,217.242,1332.69,53.414,,,,,,,,,
82,0,,,,,,,,,,,,,,,,,,,354.688,1747.93,405.299,468.172,1748.73,111.898,,,,651.842,1759.14,219.946,68.4517,1335.82,426.544,,,,217.213,1332.7,53.3935,,,,,,,,,
83,0,,,,,,,,,,,,,,,,,,,367.557,1744.96,412.28,488.621,1745.09,121.632,,,,670.189,1752.33,233.802,68.2714,1334.85,426.102,,,,217.2,1332.71,53.3707,,,,,,,,,
84,0,,,,,,,,,,,,,,,,,,,380.199,1741.94,419.574,508.241,1741.47,131.324,,,,687.717,1745.2,248.044,68.4618,1334.03,425.91,,,,217.208,1332.72,53.3179,,,,,,,,,
85,0,,,,,,,,,,,,,,,,,,,392.697,1738.99,427.361,527.393,1738.07,141.656,,,,704.37,1737.23,262.604,68.9908,1333.06,425.515,,,,217.272,1332.73,53.2339,,,,,,,,,
86,0,,,,,,,,,,,,,,,,,,,404.811,1736.01,435.497,546.046,1735.14,152.695,,,,720.115,1728.54,277.269,69.5385,1332.47,425.235,,,,217.362,1332.71,53.0949,,,,,,,,,
87,0,,,,,,,,,,,,,,,,,,,416.363,1733.16,443.9,563.649,1731.97,163.788,,,,734.91,1719.24,291.836,70.3174,1331.67,425.094,,,,217.495,1332.63,52.9309,,,,,,,,,
